gaz_id,gaz_name,gaz_featureclass,fcode,state_alpha,county_name,LayerID,GlobalID,JoinID
1302483,Justis Lake,Reservoir,43600,TN,Greene,7,{5beb1f2c-b572-4334-9d7a-45c0852a94c8},4032
1302485,Middle Fork Obion River Lake Number Two,Reservoir,39004,TN,Henry,7,{3c37b2ef-c813-4138-8c4f-2aeb96d2e613},4033
1302486,Mar-Jeanne Farm Lake,Reservoir,43600,TN,Fentress,7,{954d3120-d1dc-483b-8d11-d375a9dd1926},4034
1302489,Thompson Creek Number Two Lake,Reservoir,39004,TN,Weakley,7,{5419e74a-c622-405d-bb7b-3bcbaf730c22},4035
1302491,Five Coves Lake,Reservoir,39004,TN,Sumner,7,{a2444546-3ae2-4221-a745-4d0bbf4827c3},4036
1302493,Marrowbone Lake,Reservoir,39009,TN,Davidson,7,{c5ddffcd-eee2-4738-b016-2516e78ea6df},4037
1302496,Luker Lake,Reservoir,39009,TN,Obion,7,{19bee0b2-c27d-41de-840f-509e851eb0ee},4038
1302498,Wolfe Lake,Reservoir,39004,TN,Grainger,7,{9b453d52-9fa9-4fd3-845d-28550315dbf2},4039
1302501,Thompson Creek Number Three Lake,Reservoir,39004,TN,Weakley,7,{a2f9ca3d-7e2b-4576-9400-324de20d6046},4040
1302502,Mud Creek Watershed Lake Nine,Reservoir,39004,TN,Weakley,7,{9c11cd44-a489-4c10-a713-4dc5039f62ad},4041
1302504,Dyer Lake,Reservoir,39004,TN,Benton,7,{00f5bed5-b71d-4060-b30d-1c54a3c33f6a},4042
1302507,Garrett Lake,Reservoir,39009,TN,Weakley,7,{6e40de13-b94f-49a7-98bd-a918b8f38d28},4043
1302509,Katron Sediment Basin Number One Reservoir,Reservoir,43600,TN,Fentress,7,{061042ac-1b95-4a3a-a0ed-688b21c63903},4044
1302511,Cypress Creek Number Eight Lake,Reservoir,43600,TN,Weakley,7,{fbd9e611-1f8f-4721-ab6b-26e54a5df755},4045
1302514,Cypress Creek Lake Number Seven,Reservoir,39004,TN,Weakley,7,{c5a1706d-923b-4d57-92b4-fa5d795ea477},4046
1302515,Turner Lake,Reservoir,39009,TN,Obion,7,{26687b63-72fd-4c53-a42b-d46f3142e2a8},4047
1302518,Thompson Creek Number Eight Lake,Reservoir,39004,TN,Weakley,7,{a9d0bddd-243b-42f4-86ff-9492481aef81},4048
1302520,Cypress Creek Lake Number Nine,Reservoir,39004,TN,Weakley,7,{ea79255c-17be-4993-bfcf-e0220794c0be},4049
1302521,Glady Hollow 41-1 Lake,Reservoir,39004,TN,Obion,7,{eea6a9c4-708e-431d-9f85-c3c4907df921},4050
1302523,Livingston City Lake,Reservoir,39004,TN,Overton,7,{9b9b921d-99bc-486e-bb91-706c8351b99b},4051
1302525,W F Baker Lake,Reservoir,39009,TN,Weakley,7,{81a7a5ba-bc24-446f-8d29-4f0130cad4f2},4052
1302527,Lakewood Lake,Reservoir,39004,TN,Davidson,7,{a2afd9ee-f2c5-401d-8e6e-af263c3d4be4},4053
1302530,Norman Lake,Reservoir,39004,TN,Sumner,7,{4f1342a8-e71f-4c7c-9567-0523fae73e0e},4054
1302533,L A Green Lake,Reservoir,39004,TN,Sumner,7,{e1064914-0869-4b4d-a8f2-bdf799a3c10c},4055
1302534,Cypress Creek Lake Number Six,Reservoir,43600,TN,Weakley,7,{b2127898-e635-4575-85e5-b45ffc79656f},4056
1302536,Cypress Creek Number Ten Lake,Reservoir,39004,TN,Weakley,7,{6e865b76-3e4d-4073-a5b8-5a6e5b2e3901},4057
1302539,Cypress Creek Lake Number Eleven,Reservoir,39004,TN,Weakley,7,{a3943b0f-d6c5-491a-a1e2-1eba1eb20c36},4058
1302541,Botts Lake,Reservoir,39009,TN,Obion,7,{d199876c-0a16-4cb0-a1b0-fc13ec867e29},4059
1302543,Cypress Creek Lake Number Four,Reservoir,39004,TN,Weakley,7,{8b0fc08e-539b-4162-b3b0-614ca425dfeb},4060
1302544,C and M East Farm Pond,Reservoir,43600,TN,Fentress,7,{b30ddc34-4ecf-4e9d-8b3d-be03e2388c21},4061
1302547,Cypress Creek Number Five Lake,Reservoir,39004,TN,Weakley,7,{0d5a2486-063c-4ca1-b47a-d12b651352ba},4062
1302550,OFDBA Little Cypress Creek Lake Number,Reservoir,39004,TN,Weakley,7,{0637b97e-274e-4562-839a-a431d1293b45},4063
1302551,Cypress Creek Lake Number Twelve,Reservoir,39004,TN,Weakley,7,{98f4cb36-5dc8-48dc-a5e2-0c2e5f52e313},4064
1302555,Cypress Creek Number Three Lake,Reservoir,43600,TN,Weakley,7,{a581a36d-24ec-4c82-a058-e43b5c75164c},4065
1302559,Cypress Creek Number Two Lake,Reservoir,39004,TN,Weakley,7,{a3d18aa3-74e4-4d25-929f-da9401039738},4066
