place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes,Place_Name,County,place_lat,place_lon,gaz_id,gnis_lat,gnis_lon,distance_miles
26,Adairs Station,Knox,,,29441.0,1306878.0,Park Station,Maury,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Adairs Station,Knox,36.0045,-83.9372,1306878,35.6145,-87.0472,176.33461496307183
26,Adairs Station,Knox,,,29189.0,1294080.0,Miser Station,Blount,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 74.07407407407408), different county",Adairs Station,Knox,36.0045,-83.9372,1294080,35.6856,-83.9207,22.054591667221242
26,Adairs Station,Knox,,,28908.0,1297430.0,Pierce Station,Obion,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county",Adairs Station,Knox,36.0045,-83.9372,1297430,36.3245,-89.1972,294.22046422119934
31,Adamsburg,Benton,,1858.0,28683.0,1286632.0,Hamburg,Hardin,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Adamsburg,Benton,36.0773,-88.0589,1286632,35.1845,-88.2472,62.59014102325205
31,Adamsburg,Benton,,1858.0,30025.0,1300630.0,Samburg,Obion,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Adamsburg,Benton,36.0773,-88.0589,1300630,36.3245,-89.1972,65.72750254462107
31,Adamsburg,Benton,,1858.0,33109.0,1286631.0,Hamburg,Marion,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Adamsburg,Benton,36.0773,-88.0589,1286631,35.1145,-85.6472,150.94779453782368
59,Akinton,Hardin,,1887.0,34046.0,1290257.0,Kingston,Roane,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county",Akinton,Hardin,35.1845,-88.2472,1290257,35.8645,-84.5372,213.84685793896747
59,Akinton,Hardin,,1887.0,29137.0,1313232.0,Lanton,Maury,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Akinton,Hardin,35.1845,-88.2472,1313232,35.6145,-87.0472,73.8301414694391
59,Akinton,Hardin,,1887.0,32531.0,1291350.0,Linton,Davidson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Akinton,Hardin,35.1845,-88.2472,1291350,36.1667,-86.7844,106.52262065190631
69,Alburn,Cannon,,1901.0,29908.0,1275936.0,Ashburn,Robertson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Alburn,Cannon,35.8095,-86.0583,1275936,36.5145,-86.8672,66.40220075844003
69,Alburn,Cannon,,1901.0,30347.0,1305550.0,Burns,Dickson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Alburn,Cannon,35.8095,-86.0583,1305550,36.1345,-87.3972,78.16699993090324
69,Alburn,Cannon,,1901.0,28791.0,1304392.0,Washburn,Grainger,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county",Alburn,Cannon,35.8095,-86.0583,1304392,36.2845,-83.4972,146.79406608737324
76,Aldon,Perry,,1902.0,30187.0,1313558.0,Aulon,Shelby,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county",Aldon,Perry,35.6345,-87.8472,1313558,35.1345,-89.9372,122.69973937109896
76,Aldon,Perry,,1902.0,648.0,1313499.0,Walton (historical),Davidson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Aldon,Perry,35.6345,-87.8472,1313499,36.1667,-86.7844,69.93462477259894
76,Aldon,Perry,,1902.0,27851.0,1315428.0,London,Cocke,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Aldon,Perry,35.6345,-87.8472,1315428,35.9345,-83.134,264.977101394147
79,Alex,Davidson,,1890.0,17048.0,1275543.0,Alex Hollow,Perry,Valley,80.0,NAME_VARIATION,Name variation: alex hollow,Alex,Davidson,36.1667,-86.7844,1275543,35.6345,-87.8472,69.93462477259894
